,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2553,2024,SE,FT,Data Engineer,331640.0,USD,331640.0,US,0.0,US,M
2554,2024,SE,FT,Data Engineer,283780.0,USD,283780.0,US,0.0,US,M
2555,2024,MI,FT,Applied Scientist,222200.0,USD,222200.0,US,0.0,US,L
2556,2024,MI,FT,Applied Scientist,136000.0,USD,136000.0,US,0.0,US,L
2557,2024,MI,FT,Big Data Developer,117000.0,USD,117000.0,US,0.0,US,L
2558,2024,EN,FT,Business Intelligence Analyst,99000.0,USD,99000.0,US,0.0,US,M
2559,2024,EN,FT,Business Intelligence Analyst,72000.0,USD,72000.0,US,0.0,US,M
2560,2024,MI,FT,Data Manager,77000.0,USD,77000.0,US,0.0,US,M
2561,2024,MI,FT,Data Manager,49900.0,USD,49900.0,US,0.0,US,M
2562,2024,MI,FT,Data Analyst,95000.0,USD,95000.0,US,0.0,US,M
2563,2024,MI,FT,Data Analyst,70000.0,USD,70000.0,US,0.0,US,M
2564,2024,MI,FT,Data Scientist,203500.0,USD,203500.0,US,100.0,US,M
2565,2024,MI,FT,Data Scientist,133000.0,USD,133000.0,US,100.0,US,M
2566,2024,SE,FT,Data Engineer,104000.0,USD,104000.0,US,0.0,US,M
2567,2024,SE,FT,Data Engineer,80000.0,USD,80000.0,US,0.0,US,M
2568,2024,MI,FT,Data Analyst,134400.0,USD,134400.0,US,0.0,US,M
2569,2024,MI,FT,Data Analyst,100000.0,USD,100000.0,US,0.0,US,M
2570,2024,EN,FT,Data Scientist,149204.19774878485,GBP,33500.0,GB,0.0,GB,M
2571,2024,EN,FT,Data Scientist,149204.19774878485,GBP,33500.0,GB,0.0,GB,M
2572,2024,SE,FT,Data Scientist,65000.0,GBP,81250.0,GB,100.0,GB,M
2573,2024,SE,FT,Data Scientist,45000.0,GBP,56250.0,GB,100.0,GB,M
2574,2024,EN,FT,Data Analyst,64500.0,USD,64500.0,US,0.0,US,M
2575,2024,EN,FT,Data Analyst,51500.0,USD,51500.0,US,0.0,US,M
2576,2024,SE,FT,Machine Learning Engineer,240200.0,USD,240200.0,GB,100.0,GB,M
2577,2024,SE,FT,Machine Learning Engineer,102900.0,USD,102900.0,GB,100.0,GB,M
2578,2024,MI,FT,Data Analyst,195600.0,USD,195600.0,US,100.0,US,M
2579,2024,MI,FT,Data Analyst,165500.0,USD,165500.0,US,100.0,US,M
2580,2024,SE,FT,Data Analyst,180400.0,USD,180400.0,US,0.0,US,M
2581,2024,SE,FT,Data Analyst,138800.0,USD,138800.0,US,0.0,US,M
2582,2024,SE,FT,Data Scientist,180000.0,USD,180000.0,US,0.0,US,M
2583,2024,SE,FT,Data Scientist,139000.0,USD,139000.0,US,0.0,US,M
2584,2024,SE,FT,Data Science Consultant,112000.0,USD,112000.0,US,0.0,US,M
2585,2024,SE,FT,Data Science Consultant,109000.0,USD,109000.0,US,0.0,US,M
2586,2024,SE,FT,Data Scientist,147670.0,USD,147670.0,US,0.0,US,M
2587,2024,SE,FT,Data Scientist,118136.0,USD,118136.0,US,0.0,US,M
2588,2024,SE,FT,Data Architect,164000.0,USD,164000.0,US,0.0,US,M
2589,2024,SE,FT,Data Architect,117000.0,USD,117000.0,US,0.0,US,M
2590,2024,SE,FT,BI Developer,42000.0,USD,42000.0,PH,0.0,PH,M
2591,2024,SE,FT,BI Developer,149204.19774878485,USD,148177.3937843714,PH,0.0,PH,M
2592,2024,SE,FT,Data Scientist,154000.0,USD,154000.0,US,0.0,US,M
2593,2024,SE,FT,Data Scientist,81536.0,USD,81536.0,US,0.0,US,M
2594,2024,SE,FT,Data Scientist,180000.0,USD,180000.0,US,0.0,US,M
2595,2024,SE,FT,Data Scientist,139000.0,USD,139000.0,US,0.0,US,M
2596,2024,EN,FT,Data Analyst,149204.19774878485,GBP,148177.3937843714,GB,0.0,GB,M
2597,2024,EN,FT,Data Analyst,149204.19774878485,GBP,148177.3937843714,GB,0.0,GB,M
2598,2024,SE,FT,Data Engineer,198000.0,USD,198000.0,US,100.0,US,M
2599,2024,SE,FT,Data Engineer,143000.0,USD,143000.0,US,100.0,US,M
2600,2024,SE,FT,Machine Learning Engineer,340000.0,USD,340000.0,US,0.0,US,M
2601,2024,SE,FT,Machine Learning Engineer,212000.0,USD,212000.0,US,0.0,US,M
2602,2024,SE,FT,Machine Learning Scientist,230000.0,USD,230000.0,US,0.0,US,M
2603,2024,SE,FT,Machine Learning Scientist,170000.0,USD,170000.0,US,0.0,US,M
2604,2024,EN,FT,Quantitative Research Analyst,51000.0,USD,51000.0,US,0.0,US,M
2605,2024,SE,FT,Lead Machine Learning Engineer,70000.0,EUR,77777.0,FI,50.0,FI,L
2606,2024,EN,FT,ML Engineer,149204.19774878485,USD,148177.3937843714,TR,0.0,TR,S
2607,2024,MI,FT,Data Scientist,114000.0,CHF,129545.0,CH,50.0,CH,L
2608,2024,EN,FT,Machine Learning Research Engineer,105000.0,CAD,80769.0,CA,50.0,CA,M
2609,2024,SE,FT,Business Intelligence Engineer,108500.0,USD,108500.0,US,100.0,US,M
2610,2024,SE,FT,Business Intelligence Engineer,78800.0,USD,78800.0,US,100.0,US,M
2611,2024,MI,FT,Data Infrastructure Engineer,149204.19774878485,USD,148177.3937843714,US,0.0,US,M
2612,2024,MI,FT,Data Infrastructure Engineer,200000.0,USD,200000.0,US,0.0,US,M
2613,2024,SE,FT,Data Scientist,297000.0,USD,297000.0,US,0.0,US,M
2614,2024,SE,FT,Data Scientist,138000.0,USD,138000.0,US,0.0,US,M
2615,2024,MI,FT,Data Scientist,198000.0,USD,198000.0,US,0.0,US,M
2616,2024,MI,FT,Data Scientist,140000.0,USD,140000.0,US,0.0,US,M
2617,2023,SE,FT,AI Engineer,46848.0,USD,46848.0,OM,0.0,OM,M
2618,2024,EN,FT,Machine Learning Engineer,130400.0,USD,130400.0,US,0.0,US,M
2619,2024,EN,FT,Machine Learning Engineer,74500.0,USD,74500.0,US,0.0,US,M
2620,2024,SE,FT,Data Architect,212000.0,USD,212000.0,AU,0.0,AU,M
2621,2024,SE,FT,Data Architect,93400.0,USD,93400.0,AU,0.0,AU,M
2622,2024,MI,FT,Business Intelligence Analyst,142000.0,USD,142000.0,CA,0.0,CA,M
2623,2024,MI,FT,Business Intelligence Analyst,91300.0,USD,91300.0,CA,0.0,CA,M
2624,2024,SE,FT,Data Analytics Lead,166000.0,USD,166000.0,US,0.0,US,M
2625,2024,SE,FT,Data Analytics Lead,73100.0,USD,73100.0,US,0.0,US,M
2626,2024,EN,FT,Data Scientist,133000.0,USD,133000.0,US,0.0,US,M
2627,2024,EN,FT,Data Scientist,58400.0,USD,58400.0,US,0.0,US,M
2628,2024,SE,FT,Data Scientist,204600.0,USD,204600.0,US,0.0,US,M
2629,2024,SE,FT,Data Scientist,84500.0,USD,84500.0,US,0.0,US,M
2630,2024,MI,FT,Data Scientist,176000.0,USD,176000.0,US,0.0,US,M
2631,2024,MI,FT,Data Scientist,72700.0,USD,72700.0,US,0.0,US,M
2632,2024,EN,FT,Data Analyst,92000.0,USD,92000.0,US,100.0,US,M
2633,2024,EN,FT,Data Analyst,65000.0,USD,65000.0,US,100.0,US,M
2634,2024,SE,FT,Data Engineer,231000.0,USD,231000.0,US,100.0,US,M
2635,2024,SE,FT,Data Engineer,141000.0,USD,141000.0,US,100.0,US,M
2636,2024,SE,FT,Data Scientist,162819.0,USD,162819.0,US,100.0,US,M
2637,2024,SE,FT,Data Scientist,95776.0,USD,95776.0,US,100.0,US,M
2638,2024,MI,FT,Applied Scientist,222200.0,USD,222200.0,US,0.0,US,L
2639,2024,MI,FT,Applied Scientist,136000.0,USD,136000.0,US,0.0,US,L
2640,2024,MI,FT,Data Engineer,138278.0,USD,138278.0,US,0.0,US,M
2641,2024,MI,FT,Data Engineer,86424.0,USD,86424.0,US,0.0,US,M
